구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
김포공항,4 ,11 ,10 ,12 ,15 ,23 ,35 ,29 ,31 ,34 ,30 ,33 ,34 ,35 ,32 ,27 ,24 ,33 ,25 ,31 ,30 ,29 ,27 ,26 ,27 ,20 ,17 ,18 ,15 ,17 ,15 ,12 ,15 ,16 ,9 ,0 ,0 
마곡나루,7 ,15 ,12 ,17 ,18 ,29 ,40 ,34 ,39 ,42 ,36 ,43 ,41 ,43 ,44 ,35 ,36 ,41 ,33 ,36 ,40 ,44 ,40 ,37 ,35 ,27 ,22 ,22 ,19 ,20 ,20 ,17 ,16 ,20 ,12 ,0 ,0 
가양,15 ,19 ,19 ,22 ,25 ,39 ,53 ,58 ,56 ,62 ,52 ,61 ,58 ,62 ,63 ,54 ,52 ,61 ,51 ,52 ,55 ,59 ,56 ,53 ,52 ,47 ,31 ,31 ,23 ,27 ,24 ,24 ,21 ,26 ,16 ,0 ,0 
염창,20 ,24 ,23 ,28 ,32 ,50 ,65 ,74 ,69 ,72 ,67 ,74 ,70 ,75 ,78 ,66 ,66 ,66 ,61 ,64 ,68 ,65 ,63 ,66 ,58 ,53 ,35 ,33 ,29 ,29 ,26 ,26 ,23 ,27 ,24 ,0 ,0 
당산,17 ,25 ,26 ,28 ,34 ,48 ,63 ,80 ,75 ,74 ,72 ,76 ,75 ,80 ,87 ,77 ,71 ,73 ,68 ,68 ,74 ,72 ,72 ,70 ,62 ,62 ,46 ,40 ,35 ,37 ,33 ,32 ,32 ,34 ,31 ,0 ,0 
여의도,20 ,26 ,28 ,30 ,33 ,54 ,70 ,84 ,80 ,83 ,81 ,84 ,81 ,79 ,99 ,87 ,84 ,84 ,86 ,81 ,88 ,90 ,93 ,91 ,81 ,83 ,64 ,58 ,54 ,53 ,54 ,50 ,44 ,44 ,43 ,0 ,0 
노량진,28 ,32 ,34 ,34 ,35 ,60 ,77 ,96 ,91 ,91 ,88 ,95 ,88 ,91 ,107 ,97 ,90 ,95 ,92 ,89 ,95 ,104 ,100 ,102 ,91 ,90 ,66 ,62 ,58 ,59 ,60 ,56 ,50 ,50 ,46 ,0 ,0 
동작,28 ,31 ,37 ,37 ,38 ,61 ,79 ,92 ,104 ,99 ,97 ,98 ,100 ,99 ,119 ,105 ,99 ,102 ,102 ,88 ,104 ,115 ,119 ,107 ,102 ,96 ,81 ,63 ,62 ,60 ,65 ,60 ,53 ,54 ,53 ,29 ,0 
고속터미널,14 ,20 ,22 ,21 ,27 ,39 ,51 ,70 ,82 ,76 ,76 ,75 ,81 ,77 ,93 ,84 ,83 ,81 ,82 ,75 ,90 ,88 ,102 ,92 ,89 ,82 ,69 ,53 ,54 ,51 ,58 ,57 ,46 ,45 ,49 ,25 ,0 
신논현,12 ,15 ,16 ,16 ,24 ,25 ,37 ,52 ,65 ,62 ,60 ,60 ,66 ,60 ,72 ,66 ,63 ,65 ,66 ,63 ,74 ,73 ,80 ,76 ,67 ,59 ,51 ,39 ,42 ,39 ,45 ,45 ,37 ,37 ,40 ,32 ,0 
선정릉,10 ,12 ,13 ,13 ,19 ,19 ,27 ,40 ,52 ,50 ,48 ,44 ,52 ,49 ,57 ,57 ,49 ,54 ,51 ,51 ,61 ,62 ,73 ,62 ,57 ,49 ,42 ,33 ,34 ,31 ,38 ,37 ,30 ,31 ,32 ,19 ,0 
봉은사,9 ,9 ,9 ,10 ,15 ,11 ,16 ,23 ,25 ,25 ,25 ,23 ,30 ,30 ,41 ,39 ,35 ,35 ,39 ,41 ,50 ,54 ,63 ,56 ,51 ,45 ,41 ,30 ,30 ,28 ,37 ,35 ,32 ,30 ,31 ,26 ,0 
종합운동장,8 ,9 ,6 ,7 ,9 ,7 ,11 ,16 ,18 ,19 ,18 ,17 ,22 ,22 ,28 ,30 ,27 ,26 ,34 ,35 ,43 ,52 ,50 ,48 ,44 ,39 ,34 ,24 ,26 ,25 ,30 ,31 ,28 ,27 ,26 ,23 ,0 
석촌,0 ,6 ,4 ,4 ,5 ,5 ,6 ,8 ,9 ,12 ,10 ,9 ,10 ,10 ,14 ,17 ,15 ,13 ,20 ,18 ,26 ,36 ,31 ,31 ,29 ,22 ,20 ,12 ,12 ,13 ,16 ,16 ,14 ,14 ,13 ,10 ,0 
올림픽공원,0 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,7 ,2 ,3 ,3 ,3 ,3 ,6 ,3 ,4 ,5 ,4 ,6 ,6 ,4 ,6 ,7 ,5 ,7 ,4 ,5 ,6 ,8 ,7 ,6 ,5 ,5 ,4 ,0 
중앙보훈병원,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
