구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
개화,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
김포공항,3 ,6 ,12 ,25 ,28 ,43 ,43 ,29 ,15 ,10 ,14 ,10 ,9 ,11 ,10 ,11 ,8 ,11 ,10 ,11 ,12 ,11 ,7 ,10 ,12 ,15 ,17 ,12 ,11 ,8 ,9 ,6 ,10 ,8 ,6 ,6 ,6 ,5 ,3 
공항시장,6 ,7 ,14 ,28 ,34 ,50 ,49 ,32 ,19 ,11 ,15 ,11 ,10 ,13 ,12 ,12 ,10 ,12 ,12 ,11 ,13 ,11 ,9 ,9 ,11 ,15 ,18 ,10 ,10 ,8 ,9 ,6 ,9 ,7 ,5 ,5 ,5 ,4 ,3 
신방화,13 ,12 ,23 ,44 ,53 ,70 ,64 ,44 ,27 ,18 ,20 ,17 ,15 ,18 ,18 ,17 ,15 ,15 ,16 ,14 ,16 ,13 ,12 ,12 ,13 ,18 ,18 ,11 ,11 ,9 ,10 ,7 ,9 ,8 ,6 ,5 ,6 ,4 ,3 
마곡나루,5 ,9 ,17 ,34 ,43 ,58 ,72 ,39 ,28 ,15 ,17 ,16 ,12 ,16 ,16 ,16 ,13 ,14 ,17 ,15 ,14 ,15 ,13 ,13 ,16 ,23 ,23 ,14 ,12 ,12 ,13 ,9 ,12 ,11 ,8 ,7 ,10 ,6 ,3 
양천향교,10 ,12 ,22 ,48 ,59 ,73 ,69 ,48 ,32 ,19 ,22 ,20 ,16 ,19 ,22 ,20 ,17 ,18 ,20 ,19 ,19 ,19 ,18 ,19 ,25 ,41 ,29 ,17 ,15 ,16 ,13 ,10 ,12 ,12 ,8 ,7 ,9 ,7 ,4 
가양,9 ,11 ,22 ,45 ,57 ,76 ,65 ,46 ,30 ,19 ,18 ,16 ,13 ,16 ,18 ,18 ,15 ,14 ,17 ,15 ,14 ,17 ,15 ,16 ,18 ,28 ,22 ,14 ,10 ,11 ,8 ,7 ,8 ,8 ,6 ,4 ,7 ,8 ,3 
증미,11 ,14 ,25 ,49 ,68 ,82 ,74 ,56 ,37 ,22 ,20 ,20 ,17 ,18 ,20 ,20 ,16 ,16 ,18 ,16 ,16 ,19 ,18 ,22 ,24 ,44 ,26 ,16 ,11 ,12 ,8 ,7 ,8 ,8 ,5 ,3 ,7 ,7 ,3 
등촌,18 ,21 ,36 ,70 ,102 ,123 ,106 ,74 ,47 ,29 ,25 ,25 ,20 ,22 ,25 ,25 ,19 ,19 ,19 ,18 ,17 ,20 ,21 ,26 ,24 ,49 ,28 ,16 ,12 ,12 ,8 ,8 ,7 ,9 ,5 ,3 ,5 ,8 ,2 
염창,17 ,23 ,39 ,74 ,117 ,147 ,124 ,88 ,53 ,33 ,28 ,28 ,22 ,23 ,27 ,27 ,23 ,19 ,21 ,18 ,19 ,21 ,22 ,27 ,25 ,50 ,29 ,17 ,13 ,12 ,9 ,9 ,7 ,9 ,6 ,3 ,6 ,8 ,2 
신목동,21 ,27 ,44 ,83 ,128 ,159 ,137 ,97 ,62 ,42 ,33 ,32 ,26 ,26 ,30 ,30 ,26 ,22 ,22 ,19 ,22 ,22 ,27 ,28 ,26 ,49 ,35 ,18 ,13 ,13 ,10 ,10 ,9 ,10 ,6 ,5 ,6 ,8 ,3 
선유도,22 ,24 ,43 ,83 ,140 ,170 ,143 ,104 ,72 ,46 ,36 ,35 ,29 ,30 ,34 ,35 ,30 ,25 ,26 ,24 ,26 ,26 ,35 ,39 ,40 ,75 ,46 ,26 ,17 ,17 ,13 ,12 ,10 ,11 ,7 ,5 ,5 ,8 ,3 
당산,22 ,26 ,44 ,80 ,138 ,160 ,171 ,113 ,88 ,49 ,38 ,38 ,32 ,32 ,43 ,40 ,35 ,28 ,27 ,25 ,27 ,25 ,29 ,30 ,34 ,55 ,39 ,23 ,16 ,16 ,11 ,13 ,10 ,12 ,10 ,7 ,7 ,12 ,6 
국회의사당,20 ,25 ,40 ,65 ,111 ,122 ,103 ,82 ,68 ,44 ,34 ,41 ,34 ,36 ,42 ,44 ,39 ,38 ,39 ,42 ,43 ,51 ,47 ,81 ,81 ,136 ,84 ,47 ,29 ,26 ,25 ,27 ,20 ,21 ,16 ,12 ,8 ,12 ,6 
여의도,15 ,25 ,37 ,49 ,72 ,95 ,71 ,79 ,60 ,46 ,35 ,43 ,35 ,36 ,43 ,47 ,42 ,41 ,43 ,45 ,48 ,59 ,56 ,87 ,84 ,120 ,90 ,41 ,29 ,29 ,27 ,27 ,21 ,24 ,20 ,13 ,9 ,15 ,9 
샛강,15 ,24 ,35 ,45 ,63 ,82 ,59 ,71 ,56 ,43 ,36 ,41 ,35 ,34 ,42 ,46 ,41 ,41 ,43 ,48 ,46 ,60 ,51 ,84 ,85 ,118 ,110 ,46 ,31 ,29 ,30 ,28 ,21 ,24 ,19 ,14 ,9 ,13 ,8 
노량진,20 ,36 ,42 ,52 ,80 ,117 ,87 ,95 ,67 ,51 ,41 ,44 ,37 ,35 ,44 ,48 ,44 ,40 ,42 ,43 ,45 ,52 ,47 ,66 ,70 ,89 ,92 ,40 ,27 ,25 ,28 ,24 ,22 ,21 ,20 ,15 ,10 ,13 ,6 
노들,25 ,40 ,45 ,58 ,87 ,125 ,93 ,100 ,76 ,54 ,43 ,46 ,40 ,36 ,45 ,48 ,44 ,40 ,42 ,43 ,44 ,47 ,50 ,63 ,69 ,86 ,88 ,37 ,27 ,24 ,27 ,23 ,20 ,20 ,19 ,15 ,10 ,15 ,7 
