구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
개화,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
김포공항,2 ,3 ,5 ,4 ,7 ,7 ,8 ,11 ,11 ,9 ,9 ,10 ,8 ,11 ,12 ,10 ,12 ,10 ,10 ,15 ,8 ,9 ,13 ,15 ,11 ,15 ,10 ,12 ,8 ,9 ,11 ,7 ,6 ,9 ,21 ,11 ,3 
공항시장,3 ,4 ,6 ,5 ,8 ,9 ,10 ,13 ,12 ,11 ,11 ,10 ,9 ,16 ,12 ,12 ,13 ,11 ,12 ,15 ,9 ,10 ,14 ,13 ,12 ,13 ,9 ,11 ,8 ,8 ,11 ,7 ,6 ,9 ,15 ,10 ,2 
신방화,6 ,6 ,9 ,9 ,14 ,14 ,15 ,19 ,16 ,17 ,15 ,15 ,15 ,22 ,18 ,18 ,17 ,16 ,15 ,20 ,14 ,14 ,17 ,16 ,14 ,16 ,11 ,14 ,9 ,10 ,11 ,7 ,6 ,10 ,12 ,14 ,3 
마곡나루,2 ,4 ,7 ,6 ,10 ,10 ,12 ,15 ,11 ,14 ,11 ,12 ,12 ,18 ,15 ,15 ,14 ,14 ,12 ,18 ,15 ,13 ,17 ,14 ,17 ,15 ,11 ,13 ,10 ,12 ,12 ,7 ,9 ,11 ,13 ,19 ,4 
양천향교,4 ,5 ,9 ,8 ,13 ,13 ,16 ,21 ,17 ,19 ,17 ,17 ,17 ,25 ,18 ,22 ,20 ,19 ,18 ,22 ,21 ,20 ,21 ,18 ,19 ,17 ,12 ,14 ,10 ,11 ,11 ,9 ,9 ,11 ,12 ,18 ,3 
가양,3 ,4 ,2 ,7 ,10 ,11 ,13 ,16 ,15 ,17 ,13 ,14 ,15 ,19 ,18 ,17 ,15 ,15 ,14 ,17 ,16 ,15 ,17 ,14 ,18 ,14 ,8 ,10 ,7 ,8 ,7 ,8 ,6 ,8 ,10 ,22 ,7 
증미,4 ,6 ,2 ,7 ,11 ,13 ,16 ,20 ,20 ,20 ,15 ,19 ,19 ,21 ,20 ,21 ,18 ,17 ,17 ,19 ,17 ,18 ,20 ,17 ,17 ,15 ,9 ,11 ,7 ,8 ,8 ,7 ,5 ,7 ,10 ,22 ,6 
등촌,6 ,9 ,5 ,11 ,16 ,20 ,21 ,27 ,26 ,28 ,22 ,25 ,26 ,27 ,26 ,30 ,24 ,23 ,19 ,24 ,23 ,22 ,22 ,22 ,19 ,17 ,10 ,10 ,9 ,6 ,9 ,7 ,6 ,8 ,10 ,22 ,5 
염창,7 ,10 ,5 ,14 ,16 ,26 ,23 ,29 ,30 ,30 ,24 ,26 ,31 ,31 ,30 ,32 ,27 ,25 ,23 ,23 ,24 ,23 ,26 ,23 ,20 ,17 ,12 ,10 ,8 ,7 ,10 ,7 ,7 ,9 ,11 ,23 ,5 
