구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
개화,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
김포공항,2 ,4 ,5 ,5 ,8 ,6 ,6 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,5 ,4 ,3 ,3 ,5 ,7 ,8 ,7 ,6 ,4 ,3 ,4 ,4 ,3 ,2 ,3 ,3 ,2 ,3 
공항시장,6 ,17 ,17 ,11 ,17 ,15 ,13 ,6 ,4 ,6 ,5 ,6 ,6 ,8 ,10 ,8 ,8 ,9 ,7 ,8 ,14 ,11 ,11 ,16 ,20 ,32 ,25 ,16 ,11 ,8 ,6 ,6 ,5 ,5 ,4 ,4 ,3 ,2 ,2 
신방화,5 ,17 ,11 ,10 ,14 ,14 ,12 ,6 ,5 ,6 ,5 ,6 ,7 ,8 ,11 ,9 ,8 ,10 ,8 ,9 ,15 ,13 ,13 ,20 ,24 ,38 ,32 ,20 ,14 ,10 ,8 ,8 ,8 ,7 ,5 ,6 ,5 ,2 ,3 
마곡나루,5 ,17 ,12 ,10 ,14 ,16 ,16 ,7 ,7 ,8 ,6 ,7 ,10 ,11 ,12 ,11 ,12 ,14 ,11 ,14 ,19 ,19 ,20 ,29 ,36 ,54 ,50 ,33 ,21 ,17 ,12 ,13 ,14 ,13 ,10 ,10 ,6 ,5 ,2 
양천향교,8 ,25 ,12 ,15 ,21 ,24 ,21 ,10 ,8 ,9 ,8 ,9 ,11 ,13 ,13 ,12 ,14 ,15 ,14 ,14 ,20 ,20 ,21 ,30 ,39 ,65 ,53 ,32 ,20 ,17 ,11 ,13 ,12 ,11 ,10 ,10 ,7 ,5 ,3 
가양,11 ,28 ,14 ,16 ,25 ,36 ,43 ,14 ,13 ,10 ,9 ,10 ,13 ,14 ,16 ,14 ,18 ,17 ,17 ,18 ,23 ,23 ,26 ,32 ,45 ,63 ,68 ,44 ,29 ,23 ,16 ,18 ,20 ,17 ,16 ,14 ,8 ,6 ,4 
증미,13 ,29 ,23 ,27 ,46 ,49 ,35 ,16 ,13 ,12 ,9 ,12 ,15 ,17 ,16 ,18 ,20 ,19 ,23 ,23 ,28 ,29 ,33 ,50 ,61 ,96 ,87 ,52 ,29 ,21 ,16 ,17 ,17 ,16 ,13 ,12 ,7 ,5 ,4 
등촌,12 ,29 ,24 ,28 ,50 ,63 ,48 ,19 ,15 ,11 ,10 ,12 ,17 ,18 ,17 ,20 ,21 ,21 ,24 ,24 ,30 ,33 ,36 ,52 ,65 ,94 ,96 ,58 ,34 ,25 ,20 ,20 ,21 ,20 ,17 ,14 ,9 ,6 ,6 
염창,11 ,27 ,23 ,25 ,46 ,60 ,51 ,20 ,17 ,12 ,10 ,13 ,18 ,18 ,19 ,22 ,24 ,23 ,26 ,30 ,34 ,38 ,44 ,63 ,88 ,121 ,129 ,82 ,47 ,34 ,28 ,28 ,31 ,28 ,25 ,20 ,12 ,8 ,7 
신목동,10 ,29 ,19 ,30 ,48 ,64 ,40 ,19 ,15 ,12 ,11 ,13 ,18 ,19 ,19 ,23 ,25 ,23 ,28 ,34 ,38 ,41 ,51 ,77 ,100 ,145 ,148 ,84 ,50 ,34 ,31 ,31 ,34 ,29 ,27 ,20 ,14 ,10 ,8 
선유도,17 ,27 ,18 ,28 ,45 ,64 ,39 ,17 ,14 ,10 ,10 ,13 ,17 ,18 ,19 ,22 ,25 ,23 ,28 ,34 ,39 ,42 ,53 ,80 ,108 ,158 ,152 ,90 ,54 ,36 ,33 ,33 ,38 ,31 ,29 ,21 ,14 ,9 ,9 
당산,19 ,31 ,22 ,34 ,60 ,87 ,65 ,29 ,22 ,12 ,15 ,14 ,22 ,21 ,24 ,27 ,31 ,29 ,34 ,39 ,44 ,48 ,59 ,86 ,124 ,161 ,165 ,96 ,59 ,40 ,37 ,39 ,44 ,37 ,34 ,25 ,16 ,10 ,11 
국회의사당,17 ,22 ,15 ,28 ,42 ,59 ,37 ,18 ,15 ,10 ,14 ,15 ,21 ,21 ,23 ,28 ,31 ,30 ,35 ,42 ,46 ,53 ,69 ,108 ,142 ,189 ,158 ,87 ,54 ,39 ,34 ,37 ,38 ,34 ,30 ,23 ,13 ,8 ,8 
여의도,19 ,26 ,22 ,47 ,86 ,124 ,124 ,64 ,40 ,21 ,26 ,24 ,31 ,31 ,40 ,41 ,47 ,35 ,35 ,41 ,47 ,44 ,60 ,77 ,115 ,149 ,132 ,76 ,46 ,31 ,28 ,29 ,31 ,27 ,26 ,17 ,11 ,7 ,8 
샛강,18 ,31 ,25 ,56 ,109 ,129 ,93 ,44 ,29 ,18 ,24 ,21 ,27 ,31 ,35 ,36 ,39 ,30 ,32 ,40 ,45 ,41 ,55 ,64 ,98 ,126 ,114 ,79 ,46 ,27 ,25 ,26 ,28 ,26 ,25 ,16 ,9 ,6 ,4 
노량진,21 ,34 ,32 ,76 ,126 ,140 ,95 ,44 ,32 ,21 ,26 ,25 ,31 ,35 ,40 ,39 ,42 ,31 ,35 ,43 ,46 ,43 ,60 ,66 ,100 ,111 ,119 ,68 ,46 ,28 ,26 ,26 ,29 ,27 ,26 ,17 ,11 ,8 ,7 
노들,17 ,26 ,28 ,61 ,96 ,111 ,69 ,33 ,22 ,16 ,20 ,23 ,26 ,29 ,32 ,33 ,36 ,30 ,31 ,41 ,42 ,46 ,62 ,75 ,117 ,122 ,165 ,88 ,52 ,30 ,28 ,28 ,27 ,25 ,23 ,13 ,8 ,5 ,6 
흑석,15 ,24 ,26 ,57 ,87 ,103 ,58 ,30 ,21 ,16 ,20 ,24 ,26 ,28 ,31 ,33 ,36 ,31 ,32 ,42 ,44 ,49 ,65 ,77 ,119 ,126 ,168 ,92 ,55 ,32 ,30 ,31 ,30 ,28 ,26 ,14 ,10 ,6 ,7 
동작,14 ,25 ,26 ,58 ,85 ,102 ,66 ,31 ,24 ,19 ,22 ,26 ,30 ,28 ,33 ,35 ,36 ,32 ,34 ,39 ,43 ,47 ,63 ,72 ,120 ,125 ,168 ,84 ,51 ,32 ,31 ,30 ,31 ,28 ,27 ,15 ,11 ,6 ,7 
구반포,15 ,20 ,20 ,50 ,74 ,79 ,47 ,24 ,18 ,16 ,22 ,28 ,29 ,31 ,33 ,37 ,36 ,37 ,37 ,46 ,49 ,55 ,74 ,96 ,128 ,133 ,168 ,83 ,46 ,32 ,30 ,29 ,29 ,27 ,27 ,13 ,11 ,6 ,5 
신반포,14 ,21 ,21 ,50 ,73 ,77 ,46 ,24 ,17 ,15 ,22 ,28 ,28 ,30 ,31 ,38 ,36 ,37 ,37 ,44 ,47 ,54 ,71 ,99 ,125 ,141 ,161 ,81 ,44 ,30 ,28 ,28 ,26 ,26 ,22 ,12 ,9 ,6 ,5 
고속터미널,13 ,25 ,24 ,55 ,81 ,71 ,38 ,22 ,16 ,14 ,21 ,27 ,25 ,29 ,31 ,37 ,35 ,35 ,37 ,42 ,44 ,51 ,65 ,90 ,123 ,140 ,145 ,72 ,41 ,29 ,26 ,28 ,24 ,26 ,20 ,11 ,8 ,6 ,4 
사평,11 ,21 ,20 ,49 ,75 ,59 ,33 ,22 ,16 ,15 ,20 ,27 ,23 ,27 ,27 ,33 ,29 ,32 ,32 ,39 ,39 ,50 ,59 ,77 ,104 ,105 ,109 ,54 ,35 ,25 ,23 ,23 ,23 ,24 ,20 ,12 ,8 ,7 ,2 
신논현,15 ,17 ,19 ,45 ,63 ,52 ,27 ,19 ,14 ,17 ,17 ,26 ,23 ,28 ,26 ,33 ,30 ,32 ,32 ,39 ,39 ,49 ,58 ,77 ,104 ,117 ,97 ,55 ,33 ,25 ,24 ,24 ,25 ,26 ,21 ,13 ,9 ,7 ,2 
언주,17 ,17 ,19 ,42 ,55 ,53 ,37 ,31 ,25 ,22 ,17 ,26 ,24 ,25 ,27 ,32 ,29 ,31 ,33 ,39 ,38 ,48 ,57 ,84 ,102 ,118 ,91 ,57 ,34 ,28 ,25 ,27 ,24 ,26 ,17 ,10 ,7 ,6 ,2 
선정릉,18 ,19 ,20 ,42 ,60 ,65 ,56 ,39 ,30 ,25 ,18 ,24 ,21 ,21 ,24 ,30 ,27 ,26 ,31 ,31 ,30 ,40 ,44 ,67 ,73 ,85 ,71 ,40 ,24 ,20 ,18 ,20 ,18 ,20 ,13 ,7 ,6 ,5 ,2 
삼성중앙,15 ,12 ,24 ,41 ,54 ,63 ,55 ,38 ,28 ,23 ,18 ,21 ,19 ,19 ,21 ,25 ,23 ,21 ,27 ,27 ,25 ,33 ,37 ,57 ,62 ,73 ,58 ,34 ,21 ,18 ,16 ,18 ,17 ,17 ,12 ,7 ,5 ,6 ,1 
봉은사,18 ,16 ,27 ,44 ,58 ,68 ,67 ,44 ,34 ,22 ,19 ,20 ,19 ,17 ,19 ,23 ,20 ,19 ,24 ,22 ,21 ,27 ,30 ,41 ,45 ,51 ,42 ,23 ,15 ,13 ,12 ,13 ,12 ,13 ,11 ,5 ,5 ,5 ,2 
종합운동장,14 ,12 ,28 ,44 ,61 ,78 ,73 ,47 ,35 ,23 ,17 ,17 ,16 ,14 ,15 ,18 ,15 ,13 ,17 ,14 ,13 ,17 ,18 ,25 ,26 ,30 ,23 ,15 ,9 ,7 ,7 ,7 ,7 ,8 ,7 ,4 ,3 ,3 ,2 
삼전,16 ,15 ,31 ,47 ,70 ,93 ,83 ,51 ,35 ,25 ,21 ,20 ,18 ,16 ,18 ,21 ,17 ,15 ,20 ,16 ,15 ,20 ,22 ,27 ,26 ,34 ,24 ,16 ,9 ,10 ,8 ,8 ,9 ,10 ,8 ,6 ,3 ,4 ,2 
석촌고분,22 ,12 ,25 ,37 ,56 ,76 ,60 ,39 ,29 ,20 ,17 ,17 ,16 ,15 ,15 ,18 ,15 ,12 ,18 ,14 ,15 ,18 ,20 ,24 ,24 ,30 ,23 ,16 ,9 ,10 ,7 ,9 ,9 ,10 ,8 ,6 ,4 ,4 ,2 
석촌,13 ,9 ,19 ,29 ,44 ,58 ,48 ,30 ,22 ,15 ,13 ,11 ,12 ,11 ,13 ,14 ,12 ,12 ,14 ,12 ,12 ,15 ,16 ,21 ,21 ,25 ,21 ,12 ,8 ,8 ,6 ,7 ,8 ,9 ,7 ,5 ,4 ,3 ,2 
송파나루,9 ,6 ,12 ,19 ,31 ,42 ,25 ,20 ,13 ,10 ,9 ,9 ,9 ,9 ,10 ,12 ,9 ,10 ,11 ,10 ,10 ,12 ,13 ,15 ,12 ,21 ,11 ,7 ,6 ,5 ,5 ,6 ,7 ,7 ,7 ,4 ,3 ,3 ,1 
한성백제,8 ,5 ,9 ,13 ,21 ,29 ,18 ,12 ,8 ,6 ,6 ,6 ,7 ,5 ,7 ,7 ,7 ,7 ,7 ,7 ,6 ,9 ,10 ,10 ,9 ,12 ,7 ,6 ,4 ,3 ,3 ,3 ,4 ,5 ,3 ,3 ,2 ,2 ,1 
올림픽공원,6 ,4 ,7 ,11 ,17 ,23 ,16 ,11 ,7 ,6 ,6 ,6 ,7 ,5 ,6 ,6 ,5 ,7 ,8 ,6 ,6 ,8 ,10 ,8 ,8 ,10 ,7 ,5 ,5 ,4 ,3 ,2 ,4 ,6 ,4 ,3 ,3 ,2 ,2 
둔촌오륜,3 ,2 ,2 ,6 ,8 ,9 ,6 ,4 ,3 ,3 ,3 ,2 ,3 ,2 ,4 ,2 ,2 ,4 ,4 ,4 ,2 ,8 ,5 ,4 ,5 ,5 ,3 ,2 ,3 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,1 
중앙보훈병원,2 ,2 ,1 ,4 ,5 ,5 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1 ,2 ,4 ,3 ,2 ,2 ,2 ,3 ,3 ,4 ,3 ,2 ,1 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,2 ,2 ,0 ,1 
