구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
개화,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
김포공항,1 ,1 ,3 ,4 ,2 ,4 ,4 ,4 ,5 ,3 ,1 ,4 ,3 ,2 ,5 ,2 ,4 ,3 ,4 ,5 ,3 ,3 ,2 ,6 ,3 ,2 ,3 ,3 ,2 ,4 ,3 ,3 ,2 ,3 ,3 ,3 ,1 
공항시장,7 ,6 ,7 ,5 ,4 ,6 ,7 ,8 ,7 ,7 ,8 ,7 ,8 ,7 ,8 ,10 ,9 ,9 ,11 ,9 ,9 ,11 ,9 ,14 ,8 ,7 ,7 ,7 ,5 ,8 ,4 ,4 ,5 ,6 ,4 ,3 ,2 
신방화,4 ,7 ,5 ,4 ,3 ,6 ,6 ,8 ,6 ,6 ,8 ,6 ,8 ,6 ,7 ,11 ,9 ,10 ,11 ,10 ,10 ,12 ,9 ,13 ,10 ,9 ,8 ,8 ,6 ,9 ,6 ,7 ,8 ,8 ,6 ,5 ,2 
마곡나루,5 ,7 ,6 ,5 ,4 ,6 ,8 ,9 ,9 ,7 ,9 ,9 ,11 ,9 ,10 ,13 ,12 ,11 ,15 ,13 ,13 ,16 ,15 ,18 ,16 ,13 ,14 ,14 ,10 ,14 ,10 ,11 ,11 ,14 ,10 ,8 ,6 
양천향교,7 ,10 ,7 ,6 ,4 ,7 ,10 ,10 ,10 ,8 ,9 ,9 ,13 ,12 ,12 ,14 ,14 ,15 ,17 ,14 ,14 ,16 ,16 ,19 ,17 ,14 ,13 ,13 ,11 ,14 ,9 ,11 ,10 ,12 ,10 ,6 ,5 
가양,7 ,11 ,7 ,5 ,5 ,7 ,11 ,9 ,11 ,10 ,10 ,8 ,15 ,13 ,13 ,15 ,16 ,16 ,20 ,16 ,17 ,19 ,19 ,23 ,20 ,19 ,19 ,18 ,15 ,16 ,14 ,16 ,15 ,19 ,14 ,9 ,10 
증미,6 ,12 ,13 ,7 ,8 ,10 ,13 ,13 ,13 ,11 ,16 ,12 ,17 ,17 ,18 ,22 ,21 ,21 ,24 ,19 ,20 ,21 ,27 ,25 ,24 ,23 ,21 ,17 ,19 ,17 ,14 ,15 ,14 ,18 ,12 ,8 ,8 
등촌,5 ,11 ,14 ,8 ,8 ,10 ,14 ,12 ,13 ,11 ,17 ,11 ,17 ,18 ,19 ,24 ,22 ,21 ,25 ,21 ,22 ,25 ,30 ,28 ,26 ,26 ,24 ,21 ,21 ,19 ,17 ,19 ,16 ,20 ,15 ,10 ,10 
염창,5 ,12 ,14 ,7 ,8 ,9 ,14 ,12 ,12 ,10 ,17 ,12 ,16 ,18 ,19 ,25 ,24 ,27 ,29 ,25 ,27 ,32 ,41 ,35 ,33 ,33 ,33 ,28 ,28 ,24 ,24 ,27 ,26 ,25 ,21 ,14 ,14 
신목동,5 ,12 ,14 ,7 ,9 ,12 ,13 ,16 ,12 ,11 ,17 ,15 ,16 ,19 ,22 ,27 ,27 ,27 ,31 ,25 ,29 ,35 ,46 ,41 ,38 ,36 ,36 ,32 ,32 ,27 ,27 ,30 ,28 ,28 ,23 ,16 ,15 
선유도,7 ,17 ,12 ,6 ,9 ,10 ,12 ,15 ,11 ,10 ,16 ,15 ,13 ,19 ,23 ,25 ,28 ,26 ,30 ,26 ,30 ,35 ,48 ,42 ,40 ,37 ,36 ,32 ,33 ,29 ,28 ,30 ,29 ,29 ,24 ,17 ,12 
당산,7 ,18 ,10 ,7 ,10 ,13 ,15 ,16 ,14 ,13 ,19 ,18 ,18 ,22 ,27 ,30 ,33 ,30 ,36 ,32 ,34 ,40 ,56 ,44 ,45 ,42 ,43 ,36 ,38 ,33 ,32 ,35 ,34 ,32 ,30 ,20 ,14 
국회의사당,5 ,13 ,7 ,5 ,8 ,11 ,11 ,12 ,11 ,15 ,14 ,16 ,19 ,24 ,34 ,32 ,31 ,34 ,35 ,34 ,36 ,46 ,70 ,49 ,47 ,46 ,40 ,34 ,32 ,30 ,29 ,32 ,28 ,26 ,22 ,14 ,11 
여의도,6 ,17 ,9 ,8 ,12 ,13 ,14 ,17 ,17 ,20 ,21 ,24 ,26 ,30 ,46 ,50 ,49 ,45 ,39 ,35 ,38 ,41 ,64 ,51 ,47 ,43 ,39 ,33 ,29 ,27 ,28 ,31 ,27 ,25 ,22 ,14 ,11 
샛강,6 ,17 ,8 ,7 ,10 ,11 ,12 ,17 ,17 ,21 ,22 ,25 ,29 ,32 ,54 ,51 ,46 ,45 ,38 ,36 ,43 ,45 ,78 ,53 ,50 ,42 ,35 ,29 ,28 ,22 ,25 ,29 ,27 ,24 ,18 ,14 ,10 
노량진,7 ,21 ,10 ,8 ,12 ,15 ,17 ,19 ,20 ,24 ,25 ,31 ,31 ,35 ,54 ,53 ,49 ,47 ,40 ,38 ,47 ,51 ,81 ,55 ,51 ,44 ,39 ,32 ,31 ,25 ,27 ,31 ,28 ,26 ,21 ,15 ,12 
노들,7 ,18 ,6 ,5 ,9 ,13 ,15 ,18 ,16 ,21 ,23 ,27 ,31 ,35 ,59 ,50 ,44 ,46 ,41 ,42 ,47 ,55 ,88 ,62 ,53 ,45 ,38 ,31 ,31 ,24 ,27 ,33 ,29 ,25 ,20 ,13 ,12 
흑석,6 ,15 ,7 ,6 ,8 ,13 ,15 ,16 ,16 ,21 ,20 ,26 ,30 ,33 ,59 ,48 ,44 ,45 ,42 ,42 ,48 ,56 ,88 ,61 ,54 ,46 ,41 ,34 ,34 ,26 ,31 ,34 ,32 ,28 ,20 ,14 ,14 
동작,6 ,15 ,8 ,7 ,10 ,25 ,32 ,19 ,16 ,20 ,22 ,28 ,37 ,47 ,61 ,49 ,41 ,43 ,40 ,43 ,51 ,53 ,63 ,56 ,53 ,47 ,44 ,35 ,37 ,27 ,31 ,37 ,32 ,30 ,21 ,16 ,15 
구반포,8 ,14 ,8 ,8 ,13 ,25 ,23 ,19 ,19 ,25 ,26 ,33 ,43 ,43 ,51 ,46 ,44 ,49 ,47 ,47 ,57 ,62 ,70 ,64 ,58 ,51 ,45 ,41 ,38 ,35 ,39 ,46 ,36 ,34 ,23 ,18 ,16 
신반포,7 ,14 ,7 ,9 ,12 ,24 ,22 ,19 ,19 ,26 ,26 ,31 ,42 ,42 ,49 ,44 ,42 ,48 ,45 ,49 ,56 ,61 ,70 ,63 ,56 ,50 ,42 ,38 ,36 ,33 ,40 ,42 ,34 ,32 ,22 ,17 ,15 
고속터미널,7 ,15 ,5 ,9 ,11 ,22 ,22 ,18 ,19 ,25 ,27 ,30 ,40 ,42 ,47 ,42 ,42 ,46 ,43 ,47 ,51 ,58 ,66 ,59 ,53 ,48 ,41 ,37 ,32 ,31 ,40 ,40 ,31 ,31 ,17 ,17 ,14 
사평,6 ,14 ,6 ,9 ,11 ,20 ,18 ,18 ,16 ,22 ,21 ,28 ,35 ,36 ,39 ,39 ,43 ,43 ,42 ,43 ,46 ,55 ,58 ,54 ,43 ,39 ,34 ,29 ,24 ,22 ,30 ,32 ,24 ,29 ,13 ,13 ,14 
신논현,6 ,14 ,6 ,8 ,12 ,20 ,19 ,19 ,16 ,22 ,23 ,27 ,33 ,33 ,38 ,38 ,40 ,43 ,38 ,43 ,48 ,57 ,54 ,54 ,44 ,39 ,31 ,30 ,25 ,23 ,32 ,34 ,26 ,31 ,14 ,14 ,15 
언주,12 ,9 ,5 ,8 ,10 ,16 ,18 ,20 ,20 ,22 ,22 ,24 ,33 ,29 ,36 ,38 ,40 ,42 ,40 ,40 ,46 ,55 ,45 ,49 ,44 ,39 ,30 ,30 ,25 ,22 ,35 ,34 ,30 ,28 ,13 ,11 ,12 
선정릉,10 ,10 ,5 ,9 ,11 ,16 ,18 ,20 ,20 ,20 ,22 ,23 ,32 ,25 ,30 ,31 ,38 ,35 ,33 ,35 ,41 ,44 ,41 ,43 ,36 ,33 ,29 ,24 ,20 ,18 ,32 ,30 ,28 ,25 ,9 ,9 ,10 
삼성중앙,10 ,8 ,4 ,8 ,10 ,14 ,19 ,17 ,18 ,18 ,20 ,18 ,23 ,22 ,27 ,24 ,32 ,30 ,29 ,30 ,34 ,40 ,36 ,37 ,31 ,29 ,25 ,22 ,17 ,17 ,27 ,29 ,26 ,22 ,8 ,9 ,7 
봉은사,13 ,9 ,6 ,9 ,10 ,14 ,20 ,17 ,19 ,18 ,21 ,17 ,23 ,22 ,26 ,22 ,29 ,27 ,27 ,27 ,31 ,38 ,34 ,33 ,28 ,26 ,24 ,19 ,15 ,15 ,26 ,25 ,30 ,17 ,8 ,8 ,6 
종합운동장,9 ,7 ,4 ,7 ,9 ,14 ,19 ,19 ,20 ,18 ,21 ,17 ,21 ,22 ,22 ,20 ,22 ,18 ,21 ,19 ,19 ,22 ,24 ,22 ,20 ,18 ,17 ,13 ,8 ,10 ,20 ,20 ,26 ,14 ,6 ,7 ,4 
삼전,11 ,8 ,5 ,10 ,11 ,17 ,23 ,23 ,24 ,22 ,25 ,17 ,24 ,25 ,25 ,22 ,27 ,21 ,21 ,22 ,21 ,23 ,25 ,23 ,22 ,22 ,15 ,14 ,10 ,15 ,30 ,22 ,34 ,17 ,7 ,8 ,6 
석촌고분,14 ,7 ,4 ,8 ,9 ,14 ,18 ,17 ,20 ,17 ,20 ,17 ,16 ,20 ,21 ,19 ,21 ,17 ,17 ,18 ,18 ,19 ,22 ,21 ,21 ,19 ,14 ,15 ,10 ,12 ,29 ,22 ,31 ,11 ,7 ,8 ,5 
석촌,11 ,5 ,4 ,5 ,7 ,10 ,11 ,9 ,13 ,11 ,14 ,11 ,11 ,15 ,16 ,16 ,17 ,13 ,14 ,15 ,15 ,16 ,20 ,17 ,18 ,17 ,12 ,11 ,8 ,12 ,28 ,18 ,31 ,10 ,7 ,5 ,5 
송파나루,7 ,4 ,4 ,4 ,6 ,8 ,9 ,7 ,10 ,8 ,12 ,9 ,9 ,13 ,14 ,12 ,14 ,10 ,12 ,12 ,13 ,14 ,16 ,15 ,14 ,14 ,10 ,11 ,7 ,11 ,32 ,17 ,34 ,10 ,7 ,6 ,3 
한성백제,5 ,2 ,3 ,3 ,4 ,6 ,4 ,3 ,7 ,4 ,6 ,8 ,5 ,9 ,9 ,7 ,10 ,7 ,7 ,8 ,10 ,10 ,14 ,10 ,10 ,9 ,7 ,6 ,3 ,17 ,26 ,11 ,29 ,4 ,4 ,3 ,1 
올림픽공원,5 ,3 ,3 ,3 ,5 ,5 ,5 ,3 ,7 ,3 ,7 ,8 ,5 ,8 ,9 ,8 ,10 ,5 ,6 ,7 ,12 ,8 ,11 ,9 ,10 ,8 ,7 ,6 ,3 ,18 ,25 ,13 ,22 ,4 ,4 ,3 ,1 
둔촌오륜,2 ,1 ,2 ,2 ,2 ,4 ,2 ,1 ,3 ,1 ,3 ,3 ,2 ,5 ,3 ,3 ,5 ,2 ,2 ,2 ,5 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,1 ,2 ,2 ,2 ,2 ,0 ,2 ,1 ,0 
중앙보훈병원,2 ,1 ,1 ,2 ,1 ,3 ,1 ,0 ,2 ,2 ,1 ,2 ,1 ,3 ,3 ,2 ,3 ,2 ,1 ,1 ,4 ,0 ,2 ,2 ,2 ,1 ,3 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,0 
