구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
김포공항,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,1 
마곡나루,0 ,0 ,34 ,26 ,37 ,30 ,17 ,13 ,13 ,11 ,13 ,17 ,19 ,17 ,19 ,22 ,21 ,21 ,24 ,25 ,29 ,36 ,42 ,50 ,63 ,82 ,85 ,59 ,42 ,33 ,28 ,26 ,30 ,28 ,24 ,20 ,10 ,6 ,2 
가양,0 ,0 ,41 ,39 ,59 ,67 ,49 ,28 ,24 ,17 ,18 ,22 ,22 ,24 ,24 ,27 ,27 ,27 ,29 ,32 ,36 ,43 ,53 ,61 ,80 ,109 ,107 ,74 ,51 ,41 ,35 ,33 ,41 ,35 ,29 ,23 ,13 ,9 ,4 
염창,0 ,0 ,38 ,37 ,59 ,77 ,58 ,35 ,30 ,19 ,24 ,26 ,25 ,26 ,29 ,31 ,33 ,32 ,36 ,37 ,44 ,51 ,64 ,72 ,96 ,114 ,121 ,93 ,70 ,53 ,49 ,48 ,58 ,51 ,46 ,33 ,21 ,13 ,6 
당산,0 ,0 ,39 ,44 ,61 ,82 ,60 ,39 ,31 ,21 ,29 ,31 ,28 ,31 ,36 ,38 ,40 ,41 ,44 ,46 ,54 ,65 ,86 ,91 ,121 ,146 ,158 ,118 ,94 ,71 ,66 ,65 ,79 ,70 ,64 ,47 ,30 ,17 ,8 
여의도,0 ,43 ,31 ,46 ,62 ,80 ,60 ,44 ,31 ,25 ,34 ,37 ,35 ,36 ,45 ,45 ,47 ,47 ,50 ,56 ,64 ,74 ,95 ,109 ,139 ,160 ,161 ,126 ,103 ,77 ,75 ,77 ,85 ,80 ,67 ,44 ,32 ,18 ,11 
노량진,0 ,56 ,49 ,88 ,152 ,178 ,148 ,96 ,61 ,44 ,52 ,57 ,55 ,53 ,66 ,67 ,68 ,63 ,65 ,68 ,80 ,90 ,110 ,120 ,153 ,165 ,173 ,137 ,113 ,81 ,79 ,83 ,91 ,87 ,76 ,49 ,33 ,17 ,10 
동작,0 ,59 ,55 ,113 ,162 ,179 ,136 ,93 ,60 ,49 ,57 ,63 ,56 ,58 ,70 ,73 ,75 ,69 ,74 ,78 ,90 ,109 ,134 ,143 ,183 ,188 ,193 ,156 ,124 ,95 ,89 ,96 ,105 ,98 ,87 ,55 ,35 ,18 ,8 
고속터미널,0 ,56 ,50 ,120 ,148 ,162 ,118 ,83 ,55 ,49 ,56 ,59 ,52 ,59 ,63 ,67 ,67 ,65 ,70 ,75 ,84 ,101 ,122 ,142 ,176 ,186 ,183 ,151 ,119 ,93 ,90 ,104 ,98 ,92 ,81 ,44 ,28 ,16 ,7 
신논현,0 ,36 ,57 ,106 ,136 ,147 ,108 ,72 ,48 ,48 ,54 ,57 ,48 ,55 ,56 ,62 ,58 ,60 ,61 ,65 ,78 ,85 ,106 ,134 ,160 ,173 ,171 ,127 ,91 ,71 ,69 ,81 ,79 ,74 ,67 ,37 ,23 ,14 ,7 
