구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
김포공항,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 
마곡나루,0 ,0 ,29 ,12 ,12 ,13 ,6 ,18 ,20 ,17 ,21 ,19 ,20 ,22 ,21 ,21 ,24 ,25 ,27 ,27 ,29 ,34 ,36 ,36 ,33 ,33 ,28 ,28 ,23 ,22 ,20 ,23 ,22 ,21 ,21 ,16 ,9 
가양,0 ,0 ,25 ,12 ,15 ,16 ,8 ,23 ,24 ,22 ,25 ,24 ,26 ,27 ,29 ,30 ,32 ,38 ,35 ,35 ,35 ,39 ,43 ,46 ,43 ,37 ,35 ,35 ,29 ,27 ,25 ,31 ,28 ,27 ,27 ,18 ,12 
염창,0 ,0 ,24 ,13 ,15 ,17 ,10 ,26 ,28 ,24 ,26 ,26 ,29 ,31 ,32 ,37 ,40 ,47 ,42 ,42 ,44 ,51 ,52 ,58 ,54 ,47 ,49 ,48 ,39 ,37 ,38 ,46 ,42 ,41 ,38 ,28 ,22 
당산,0 ,0 ,26 ,16 ,16 ,20 ,12 ,30 ,29 ,26 ,32 ,30 ,33 ,39 ,37 ,43 ,50 ,58 ,50 ,51 ,54 ,64 ,64 ,70 ,68 ,59 ,65 ,56 ,53 ,50 ,51 ,61 ,56 ,56 ,52 ,40 ,32 
여의도,0 ,0 ,21 ,16 ,16 ,19 ,29 ,32 ,33 ,33 ,37 ,38 ,44 ,47 ,51 ,59 ,62 ,67 ,67 ,62 ,71 ,75 ,78 ,85 ,85 ,73 ,76 ,68 ,61 ,59 ,62 ,72 ,65 ,62 ,58 ,42 ,37 
노량진,0 ,34 ,17 ,19 ,21 ,25 ,37 ,41 ,44 ,50 ,53 ,58 ,67 ,69 ,74 ,79 ,90 ,87 ,87 ,85 ,91 ,93 ,101 ,103 ,101 ,85 ,87 ,73 ,66 ,63 ,70 ,87 ,74 ,74 ,67 ,48 ,44 
동작,0 ,36 ,19 ,22 ,27 ,34 ,42 ,48 ,52 ,59 ,55 ,63 ,75 ,76 ,82 ,89 ,95 ,92 ,103 ,99 ,108 ,109 ,123 ,119 ,120 ,99 ,104 ,86 ,80 ,74 ,84 ,103 ,88 ,88 ,73 ,56 ,36 
고속터미널,0 ,30 ,16 ,18 ,23 ,32 ,40 ,44 ,48 ,54 ,52 ,60 ,70 ,76 ,83 ,81 ,87 ,89 ,93 ,93 ,100 ,109 ,116 ,112 ,104 ,88 ,97 ,78 ,72 ,69 ,85 ,97 ,80 ,85 ,65 ,51 ,30 
신논현,0 ,29 ,16 ,17 ,24 ,20 ,37 ,40 ,45 ,50 ,48 ,56 ,60 ,70 ,74 ,73 ,75 ,77 ,84 ,82 ,90 ,96 ,102 ,96 ,82 ,74 ,74 ,59 ,56 ,54 ,79 ,78 ,70 ,77 ,51 ,41 ,28 
선정릉,0 ,21 ,12 ,14 ,19 ,16 ,31 ,37 ,39 ,39 ,35 ,41 ,45 ,53 ,56 ,55 ,57 ,58 ,66 ,64 ,69 ,83 ,82 ,75 ,63 ,58 ,57 ,46 ,41 ,40 ,68 ,58 ,59 ,52 ,31 ,21 ,12 
봉은사,0 ,18 ,8 ,11 ,17 ,15 ,26 ,33 ,32 ,34 ,32 ,34 ,39 ,42 ,44 ,47 ,48 ,50 ,56 ,52 ,56 ,66 ,71 ,63 ,51 ,46 ,43 ,36 ,32 ,30 ,60 ,51 ,51 ,43 ,24 ,12 ,0 
종합운동장,0 ,18 ,8 ,11 ,17 ,15 ,28 ,35 ,34 ,34 ,33 ,36 ,37 ,39 ,42 ,38 ,39 ,36 ,40 ,36 ,38 ,42 ,49 ,45 ,36 ,32 ,31 ,25 ,22 ,25 ,58 ,40 ,42 ,33 ,19 ,9 ,0 
석촌,0 ,18 ,8 ,10 ,17 ,15 ,27 ,39 ,32 ,32 ,31 ,32 ,34 ,34 ,37 ,35 ,34 ,33 ,34 ,30 ,31 ,34 ,40 ,38 ,30 ,26 ,21 ,22 ,17 ,20 ,52 ,28 ,37 ,23 ,13 ,7 ,0 
올림픽공원,0 ,9 ,4 ,7 ,9 ,16 ,15 ,23 ,17 ,17 ,17 ,17 ,19 ,17 ,19 ,17 ,19 ,15 ,16 ,15 ,15 ,17 ,20 ,19 ,14 ,13 ,10 ,9 ,9 ,13 ,45 ,21 ,32 ,11 ,4 ,3 ,0 
중앙보훈병원,0 ,3 ,2 ,2 ,4 ,9 ,6 ,9 ,6 ,7 ,6 ,8 ,6 ,5 ,7 ,6 ,8 ,6 ,5 ,7 ,7 ,7 ,7 ,3 ,4 ,4 ,2 ,4 ,3 ,2 ,4 ,3 ,3 ,3 ,0 ,1 ,0 
